[2025-03-09 16:06:47] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532807.jpg
[2025-03-09 16:06:47] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532807.jpg
[2025-03-09 16:06:47] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532807.jpg
[2025-03-09 16:06:47] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532807.jpg
[2025-03-09 16:06:47] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532807.jpg
[2025-03-09 16:06:48] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532808.jpg
[2025-03-09 16:06:48] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532808.jpg
[2025-03-09 16:06:48] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532808.jpg
[2025-03-09 16:06:48] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532808.jpg
[2025-03-09 16:06:48] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532808.jpg
[2025-03-09 16:06:48] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532808.jpg
[2025-03-09 16:06:48] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532808.jpg
[2025-03-09 16:06:48] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532808.jpg
[2025-03-09 16:06:48] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532808.jpg
[2025-03-09 16:06:48] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532808.jpg
[2025-03-09 16:06:48] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532808.jpg
[2025-03-09 16:06:49] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532809.jpg
[2025-03-09 16:06:49] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532809.jpg
[2025-03-09 16:06:49] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532809.jpg
[2025-03-09 16:06:49] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532809.jpg
[2025-03-09 16:06:50] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532810.jpg
[2025-03-09 16:06:50] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532810.jpg
[2025-03-09 16:06:50] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532810.jpg
[2025-03-09 16:06:50] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532810.jpg
[2025-03-09 16:06:50] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532810.jpg
[2025-03-09 16:06:50] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532810.jpg
[2025-03-09 16:06:50] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532810.jpg
[2025-03-09 16:06:50] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532810.jpg
[2025-03-09 16:06:50] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532810.jpg
[2025-03-09 16:08:35] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532915.jpg
[2025-03-09 16:08:35] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532915.jpg
[2025-03-09 16:08:35] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532915.jpg
[2025-03-09 16:08:35] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532915.jpg
[2025-03-09 16:08:35] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532915.jpg
[2025-03-09 16:08:35] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532915.jpg
[2025-03-09 16:08:36] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532916.jpg
[2025-03-09 16:08:36] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532916.jpg
[2025-03-09 16:08:36] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532916.jpg
[2025-03-09 16:08:37] Received plate: 8ขฎ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532917.jpg
[2025-03-09 16:08:37] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532917.jpg
[2025-03-09 16:08:38] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532918.jpg
[2025-03-09 16:08:38] Received plate: 8ขฎ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532918.jpg
[2025-03-09 16:08:38] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532918.jpg
[2025-03-09 16:08:38] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532918.jpg
[2025-03-09 16:08:38] Received plate: 8ขฎ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532918.jpg
[2025-03-09 16:08:38] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532918.jpg
[2025-03-09 16:08:38] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532918.jpg
[2025-03-09 16:08:38] Received plate: 8ขฎ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532918.jpg
[2025-03-09 16:08:38] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532918.jpg
[2025-03-09 16:08:38] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532918.jpg
[2025-03-09 16:08:38] Received plate: 8ขฎ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532918.jpg
[2025-03-09 16:08:38] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532918.jpg
[2025-03-09 16:08:39] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532919.jpg
[2025-03-09 16:08:39] Received plate: 8ขฎ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532919.jpg
[2025-03-09 16:08:39] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532919.jpg
[2025-03-09 16:08:39] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532919.jpg
[2025-03-09 16:08:39] Received plate: 8ขฎ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532919.jpg
[2025-03-09 16:08:39] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532919.jpg
[2025-03-09 16:08:39] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532919.jpg
[2025-03-09 16:08:39] Received plate: 8ขฎ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532919.jpg
[2025-03-09 16:08:39] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532919.jpg
[2025-03-09 16:08:39] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532919.jpg
[2025-03-09 16:08:39] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532919.jpg
[2025-03-09 16:08:39] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532919.jpg
[2025-03-09 16:08:40] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532920.jpg
[2025-03-09 16:08:40] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532920.jpg
[2025-03-09 16:08:40] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532920.jpg
[2025-03-09 16:08:40] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532920.jpg
[2025-03-09 16:08:40] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532920.jpg
[2025-03-09 16:08:40] Received plate: กรุงเทพมมานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532920.jpg
[2025-03-09 16:08:40] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532920.jpg
[2025-03-09 16:08:40] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532920.jpg
[2025-03-09 16:08:40] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532920.jpg
